id;name;jhi_desc;picture_path
1;wireless payment Plastic;Belgium;auxiliary parse Awesome
2;alarm transmitting;methodologies;Cambridgeshire Fresh
3;Representative;Refined Rubber Sausages;metrics
4;payment Functionality;deposit internet solution violet;Ergonomic Wooden Pizza
5;mindshare Planner;Legacy transmitter;GB Money Market Account proactive
6;implement Towels;bandwidth-monitored Handcrafted Granite Mouse;AI Money Market Account
7;world-class;generate Cloned;focus group
8;Steel;Tuna;Administrator
9;Orchestrator Auto Loan Account zero tolerance;Practical Steel Chicken Analyst sticky;Car repurpose support
10;Clothing;copy;Regional overriding Buckinghamshire
